,,Ano,compositores,visualizacoes,letra
Appetite for Destruction [Edited],Welcome to the Jungle,1987,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler",522126999,"Welcome to the jungle we've got fun and games We got everything you want honey, we know the names We are the people that can find whatever you may need If you got the money, honey we got your disease  Jungle, welcome to the jungle Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees Uh, I, I want to watch you bleed  Welcome to the jungle we take it day by day If you want it you're gonna bleed but it's the price to pay And you're a very sexy girl, very hard to please You can taste the bright lights but you won't get there for free In the jungle welcome to the jungle Feel my, my, my serpentine Ooh, I want to hear you scream  Welcome to the jungle, it gets worse here every day You learn to live like an animal in the jungle where we play If you hunger for what you see you'll take it eventually You can have everything you want but you better not take it from me  In the jungle, welcome to the jungle Watch it bring you to your knnn knne knees, knees I'm gonna watch you bleed  And when you're high you never ever want to come down So down, so down, so down, yeah  You know where you are? You're down in the jungle baby you're gonna die In the jungle welcome to the jungle Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees In the jungle welcome to the jungle Feel my, my, my serpentine In the jungle welcome to the jungle Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees In the jungle welcome to the jungle Watch it bring you to you Its gonna bring you down, ha!"
Appetite for Destruction [Edited],It's So Easy,1987,"Aaron West Arkeen, Duff Rose Mckagan, Izzy Stradlin, Saul Hudson, Steven Adler, W Axl Rose",21030476,"I see your sister in her Sunday dress She's out to please She pouts her best She's out to take No need to try She's ready to make  It's so easy, easy When everybody's tryin' to please me baby It's so easy, easy When everybody's tryin' to please me  Cars are crashin' every night I drink n' drive everything's in sight I make the fire But I miss the firefight I hit the bull's eye every night  It's so easy, easy When everybody's tryin' to please me baby Yeah it's so easy, easy When everybody's tryin' to please me So easy But nothin' seems to please me It all fits so right When I fade into the night See me hit you You fall down  I see standin' there You think you're so cool Why don't you just F*ck off  Ya get nothin' for nothin' If that's what ya do Turn around bitch I got a use for you Besides you ain't got nothin' better to do And I'm bored  It's so easy, easy When everybody's tryin' to please me baby It's so easy, easy When everybody's tryin' to please me So easy But nothin' seems to please me It all fits so right When I fade into the night So come with me Don't ask me where 'cause I don't know I'll try ta please you I ain't got no money but it goes to show It's so easy So fucking easy It's so easy So damn easy It's so easy So fucking easy It's so easy"
Appetite for Destruction [Edited],Nightrain,1987,"Saul Hudson, Izzy Stradlin, Duff Rose Mckagan, Steven Adler, W. Axl Rose",17199022,"Loaded like a freight train Flyin like an airplane Feelin like a space brain One more time tonight Well I'm a west coast struttin' One bad mother Got a rattlesnake suitcase Under my arm Said I'm a mean machine Been drinkin' gasoline And honey you can make my motor hum I got one chance left In a nine live cat I got a dog eat dog sly smile I got a Molotov cocktail With a match to go I smoke my cigarette with style An I can tell you honey You can make my money tonight  Wake up late Honey put on your clothes Take your credit card To the liquor store That's one for you and Two for me by tonight I'll be loaded like a freight train Flyin' like an aeroplane Feelin' like a space brain One more time tonight  I'm on the nightrain Bottoms up I'm on the nightrain Fill my cup I'm on the nightrain Ready to crash and burn I never learn I'm on the nightrain I love that stuff I'm on the nightrain I can never get enough I'm on the nightrain Never to return-no  Loaded like a freight train Flyin' like an aeroplane Speedin' like a space brain One more time tonight I'm on the nightrain And I'm lookin' for some I'm on the nightrain So's I can leave this slum I'm on the nightrain And I'm ready to crash and burn  Nightrain Bottoms up I'm on the nightrain Fill my cup I'm on the nightrain Whoa yeah I'm on the nightrain Love that stuff I'm on the nightrain An I can never get enough Ridin' the nightrain I guess I I guess, I guess, I guess I never learn On the nightrain Float me home Ooh I'm on the nightrain Ridin' the nightrain Never to return Nightrain"
Appetite for Destruction [Edited],Out Ta Get Me,1987,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler",4326166,Been hidin' out And layin' low It's nothing new ta me Well you can always find a place to go If you can keep your sanity They break down the doors And they rape my rights but They won't touch me They scream and yell And fight all night You can't tell me I lose my head I close my eyes They won't touch me 'Cause I got somethin' I been buildin' up inside For so fuckin' long  They're out ta get me They won't catch me I'm fucking innocent They won't break me  Sometimes it's easy to forget where you're goin' Sometimes it's harder to leave And every time you think you know just what you're doin' That's when your troubles exceed They push me in a corner Jest to get me to fight but They won't touch me They preach and yell And fight all night You can't tell me I lose my head I close my eyes They won't touch me 'Cause I got somethin' I been buildin' up inside  They're out ta get me They won't catch me I'm innocent They won't break me  Some people got a chip on their shoulder And some would say it was me But I didn't bey that fifth of whiskey That you gave me So I'd be quick to disagree  They're out ta get me They won't catch me I'm innocent They won't break me  They're out ta get me They won't catch me I'm innocent So you can Suck me Take that one to heart
Appetite for Destruction [Edited],Mr. Brownstone,1987,"W. Axl Rose, Saul Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler",15104008,"I get up around seven Get outta bed around nine And I don't worry about nothin' no Cause worryin's a waste of my, time  The show usually starts around seven We go on stage at nine Get on the bus at eleven Sippin' a drink and feelin' fine  We been dancin' with Mr. Brownstone He's been knockin' He won't' leave me alone  I used ta do a little but a little wouldn't do So the little got more and more I just keep tryin' ta get a little better Said a little better than before I used ta do a little but a little wouldn't do So the little got more and more I just keep tryin' ta get a little better Said a little better than before  We been dancin' with Mr. Brownstone He's been knockin' He won't leave me alone  Now I get up around whenever I used ta get up on time But that old man he's a real muthafucker Gonna kick him on down the line"
Appetite for Destruction [Edited],Paradise City,1987,"Hudson Slash, Izzy Stradlin, Duff McKagan, Steven Adler, W. Axl Rose",733530459,"Take me down to the paradise city Where the grass is green and the girls are pretty Take me home  (oh won't you please take me home) Take me down to the paradise city Where the grass is green and the girls are pretty Take me home  (oh won't you please take me home)  Just a urchin livin' under the street I'm a hard case that's tough to beat I'm your charity case so buy me something to eat I'll pay you at another time Take it to the end of the line  Rags to riches or so they say Ya gotta keep pushin' for the fortune and fame You know it's all a gamble when it's just a game Ya treat it like a capital crime Everybody's doin' the time  Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home Take me down to the paradise city Where the grass is green and the girls are pretty Take me home, yeah yeah  Strapped in the chair of the city's gas chamber Why I'm here I can't quite remember The surgeon general says it's hazardous to breathe I'd have another cigarette but I can't see Tell me who you're gonna believe  Take me down to the paradise city Where the grass is green and the girls are pretty Take me home, yeah yeah Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home  So far away So far away So far away So far away  Captain America's been torn apart Now he's a court jester with a broken heart He said ""turn me around and take me back to the start"" I must be losing my mind ""are you blind?"" I've seen it all a million times  Take me down to the paradise city Where the grass is green and the girls are pretty Take me home, yeah yeah Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home Take me down to the paradise city Where the grass is green and the girls are pretty Take me home, yeah yeah Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home  I wanna go, I wanna go Oh won't you please take me home I wanna see how good it can be Oh won't you please take me home Take me down to the paradise city Where the grass is green and the girls are pretty Take me home Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home Take me down, lead me 'round Oh won't you please take me home  I wanna see, what a woman can be I want to take you home Take me down to the paradise city Where the grass is green and the girls are pretty Oh won't you please take me home I wanna go, I wanna know Oh won't you please take me home"
Appetite for Destruction [Edited],My Michelle,1987,"Duff Rose Mckagan, Saul Hudson, Izzy Stradlin, Steven Adler, W. Axl Rose",8068698,"Your daddy works in porno Now that mommy's not around She used to love her heroin But now she's underground So you stay out late at night And you do your dope for free Drivin' your friends crazy With your life's insanity  Well, well, well you just can't tell Well, well, well my Michelle  Sowin' all your wild oats In another's luxuries Yesterday was Tuesday Maybe Thursday you can sleep But school starts much too early And this hotel wasn't free So party till your connection call Honey I'll return the key  Well, well, well you just can't tell Well, well, well my Michelle Well, well, well you never can tell Well, well, well my Michelle  Everyone needs love You know that it's true Someday you'll find someone That'll fall in love with you But oh the time it takes When you're all alone Someday you'll find someone That you can call your own But till then ya better  Now you're clean And so discreet I won't say a word But most of all this song is true Case you haven't heard So c'mon and stop your cryin' 'Cause we both know money burns Honey don't stop tryin' An you'll get what you deserve  Well, well, well you just can't tell Well, well, well my Michelle Well, well, well you never can tell Well, well, well my Michelle"
Appetite for Destruction [Edited],Think About You,1987,"Steven Adler, Saul Hudson, Duff Rose Mckagan, W. Axl Rose, Izzy Stradlin",3888168,"I said baby you been looking real good You know that I remember when we met It's funny how I never felt so good  It's a feeling that I know I know I'll never forget Oooh it was the best time I can remember Oooh and the love we shared Lovin' that'll last forever  There wasn't much in this heart of mine But there's a little left and babe you found it It's funny how I never felt so high It's a feeling that I know I know I'll never forget Oooh, it was the best time I can remember Oooh and the love we shared Lovin' that'll last forever  I think about you Honey you're the time my heart says 'yes' I think about you Deep inside I love you best I think about you You know you're the one I want I think about you Darling you're the only one, I think about you... Yeah! Hahaha!  I think about you You know that I do I think about you All alone only you I think about you Oooh its true I think about you Yes I do...  Somethin' changed in this heart of mine And I'm so glad that you showed me Honey now you're my best friend I want to stay together 'til the very end Oooh, it was the best time I can remember Oooh and the love we shared Lovin' that'll last forever  I think about you Honey you're the time my heart says 'yes' I think about you Deep inside I love you best I think about you You know you're the one I want I think about you Darling you're the only one  I think about you (Oh oh yeah) I think about you (Oh you) I think about you (Only you you you...) I think about you (You know I do) I think about you (Only you) I think about you Only you Only You Only"
Appetite for Destruction [Edited],Sweet Child O' Mine,1987,"W. Axl Rose Rose, Saul Hudson Hudson, Duff Rose Mckagan, Izzy Stradlin, Steven Adler",1434083054,"She's got a smile it seems to me Reminds me of childhood memories Where everything Was as fresh as the bright blue sky Now and then when I see her face She takes me away to that special place And if I'd stare too long I'd probably break down and cry  Oh, oh, oh Sweet child o' mine Oh, oh, oh, oh Sweet love of mine  She's got eyes of the bluest skies As if they thought of rain I hate to look into those eyes And see an ounce of pain Her hair reminds me of a warm safe place Where as a child I'd hide And pray for the thunder And the rain To quietly pass me by  Oh, oh, oh Sweet child o' mine Oh, oh, oh, oh Sweet love of mine  Oh, oh, oh, oh Sweet child o' mine Oh, oh, oh, oh Sweet love of mine  Oh, oh, oh, oh Sweet child o' mine Oh yeah yeah  Oh oh sweet love of mine  Where do we go? Where do we go now? Where do we go? Oh, oh Where do we go? (Where do we go now?)  Oh where do we go now? (Where do we go?) Where do we go? (Sweet child) Oh where do we go now? Ay ay ay ay (where do we go now, where do we go)  Oh where do we go now? Where do we go? Oh, where do we go now? Oh, where do we go? Oh where do we go now? Where do we go? Oh, where do we go now? No, no, no, no, no, no Sweet child Sweet child of mine"
Appetite for Destruction [Edited],You're Crazy,1987,"Duff Rose Mckagan, Saul Hudson, Izzy Stradlin, Steven Adler, W. Axl Rose",,"Ow! I've been lookin' for a trace Lookin' for a heart Lookin' for a lover in a world That's much too dark Because you don't want my love, no, no You want to sati-satisfaction Oh yeah, oh yeah, oh yeah, ow! You don't need my love You got to find yourself another Another piece, another piece of the action Yeah, ow yeah, look out  Say where ya goin' What you gonna do? I been lookin' everywhere said I I been lookin' for you Because you don't want my love, no, no You want to sati-satisfaction Oh yeah, oh yeah, oh yeah You don't need my love You got to find yourself another Another piece, another piece Of the action  You're crazy, hey, hey You know you're crazy, oh my! You're fuckin' crazy, oh child You know you're crazy Ay,ay,ay,ay,ay,ay,ah,ah,ah,oooh, yeah! Woh yeah, oh yeah, oh yeah, oh yeah Oh na,no,na,no,na,no,na,no,na,no,no,no No,no,no,no,no,no,no,no,no,no,no,no,no No,no,no, no, no, no, no,no,no,no,no,no No,no,no! Oh no, oh no, oh no, oh no, oh no, ow! Woooaaah, hayow!  Say, boy, where ya comin' from? Where'd ya get that point of view? When I was younger I knew a motherfucker like you And she said 'You don't need my love You want to sati-satisfaction' Bitch you don't need my love You've got to find yourself another Another piece, another piece Of the action  You're crazy, hey, hey You know you're crazy, oh my! You're fuckin' crazy, oh child You know you're crazy, Ay, ay, ay, ay You know you're crazy, Hey, hey You're fuckin' crazy, Oh child You know you're crazy, Ay, ay, ay, ay You're fuckin' crazy, yeah You know you are! Bring it down! You're fuckin' crazy!"
